Malha,DeltaX,Posicao,CodigoEC
331,0.2000,66.2000,C
332,0.2000,66.4000,C
333,0.2000,66.6000,C
334,0.2000,66.8000,C
335,0.2000,67.0000,C
336,0.2000,67.2000,C
337,0.2000,67.4000,C
338,0.2000,67.6000,C
339,0.2000,67.8000,C
340,0.2000,68.0000,C
341,0.2000,68.2000,C
342,0.2000,68.4000,C
343,0.2000,68.6000,C
344,0.2000,68.8000,C
345,0.2000,69.0000,C
346,0.2000,69.2000,C
347,0.2000,69.4000,C
348,0.2000,69.6000,C
349,0.2000,69.8000,C
350,0.2000,70.0000,C
351,0.2000,70.2000,C
352,0.2000,70.4000,C
353,0.2000,70.6000,C
354,0.2000,70.8000,C
355,0.2000,71.0000,C
356,0.2000,71.2000,C
357,0.2000,71.4000,C
358,0.2000,71.6000,C
359,0.2000,71.8000,C
360,0.2000,72.0000,C
361,0.2000,72.2000,C
362,0.2000,72.4000,C
363,0.2000,72.6000,C
364,0.2000,72.8000,C
365,0.2000,73.0000,C
366,0.2000,73.2000,C
367,0.2000,73.4000,C
368,0.2000,73.6000,C
369,0.2000,73.8000,C
370,0.2000,74.0000,C
371,0.2000,74.2000,C
372,0.2000,74.4000,C
373,0.2000,74.6000,C
374,0.2000,74.8000,C
375,0.2000,75.0000,C
376,0.2000,75.2000,C
377,0.2000,75.4000,C
378,0.2000,75.6000,C
379,0.2000,75.8000,C
380,0.2000,76.0000,C
381,0.2000,76.2000,C
382,0.2000,76.4000,C
383,0.2000,76.6000,C
384,0.2000,76.8000,C
385,0.2000,77.0000,C
386,0.2000,77.2000,C
387,0.2000,77.4000,C
388,0.2000,77.6000,C
389,0.2000,77.8000,C
390,0.2000,78.0000,C
391,0.2000,78.2000,C
392,0.2000,78.4000,C
393,0.2000,78.6000,C
394,0.2000,78.8000,C
395,0.2000,79.0000,C
396,0.2000,79.2000,C
397,0.2000,79.4000,C
398,0.2000,79.6000,C
399,0.2000,79.8000,C
400,0.2000,80.0000,C
401,0.2000,80.2000,C
402,0.2000,80.4000,C
403,0.2000,80.6000,C
404,0.2000,80.8000,C
405,0.2000,81.0000,C
406,0.2000,81.2000,C
407,0.2000,81.4000,C
408,0.2000,81.6000,C
409,0.2000,81.8000,C
410,0.2000,82.0000,C
411,0.2000,82.2000,C
412,0.2000,82.4000,C
413,0.2000,82.6000,C
414,0.2000,82.8000,C
415,0.2000,83.0000,C
416,0.2000,83.2000,C
417,0.2000,83.4000,C
418,0.2000,83.6000,C
419,0.2000,83.8000,C
420,0.2000,84.0000,C
421,0.2000,84.2000,C
422,0.2000,84.4000,C
423,0.2000,84.6000,C
424,0.2000,84.8000,C
425,0.2000,85.0000,C
426,0.2000,85.2000,C
427,0.2000,85.4000,C
428,0.2000,85.6000,C
429,0.2000,85.8000,C
430,0.2000,86.0000,C
431,0.2000,86.2000,C
432,0.2000,86.4000,C
433,0.2000,86.6000,C
434,0.2000,86.8000,C
435,0.2000,87.0000,C
436,0.2000,87.2000,C
437,0.2000,87.4000,C
