NumeroIteracoes,1
Keff,1.000000000000

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
52,10.4000,0.317966634,0.047200156
53,10.6000,0.323917418,0.048083513
54,10.8000,0.329855415,0.048964972
55,11.0000,0.335780389,0.049844497
56,11.2000,0.341692108,0.050722055
57,11.4000,0.347590337,0.051597610
58,11.6000,0.353474844,0.052471128
59,11.8000,0.359345396,0.053342575
60,12.0000,0.365201762,0.054211916
61,12.2000,0.371043710,0.055079116
62,12.4000,0.376871010,0.055944142
63,12.6000,0.382683432,0.056806960
64,12.8000,0.388480747,0.057667535
65,13.0000,0.394262724,0.058525834
66,13.2000,0.400029137,0.059381821
67,13.4000,0.405779758,0.060235465
68,13.6000,0.411514359,0.061086731
69,13.8000,0.417232714,0.061935585
70,14.0000,0.422934597,0.062781994
71,14.2000,0.428619784,0.063625924
72,14.4000,0.434288049,0.064467342
73,14.6000,0.439939170,0.065306216
74,14.8000,0.445572922,0.066142511
75,15.0000,0.451189084,0.066976195
76,15.2000,0.456787434,0.067807235
77,15.4000,0.462367751,0.068635598
78,15.6000,0.467929814,0.069461252
79,15.8000,0.473473404,0.070284163
80,16.0000,0.478998303,0.071104300
81,16.2000,0.484504291,0.071921629
82,16.4000,0.489991152,0.072736119
83,16.6000,0.495458668,0.073547738
84,16.8000,0.500906625,0.074356453
85,17.0000,0.506334807,0.075162233
86,17.2000,0.511743000,0.075965045
87,17.4000,0.517130990,0.076764859
88,17.6000,0.522498565,0.077561641
89,17.8000,0.527845512,0.078355362
90,18.0000,0.533171621,0.079145990
91,18.2000,0.538476681,0.079933493
92,18.4000,0.543760483,0.080717840
93,18.6000,0.549022818,0.081499001
94,18.8000,0.554263479,0.082276944
95,19.0000,0.559482258,0.083051639
96,19.2000,0.564678950,0.083823056
97,19.4000,0.569853349,0.084591163
98,19.6000,0.575005252,0.085355930
99,19.8000,0.580134454,0.086117328
100,20.0000,0.585240754,0.086875327
101,20.2000,0.590323949,0.087629895
102,20.4000,0.595383840,0.088381004
103,20.6000,0.600420225,0.089128624
104,20.8000,0.605432907,0.089872725
105,21.0000,0.610421688,0.090613279
106,21.2000,0.615386370,0.091350255
107,21.4000,0.620326758,0.092083624
108,21.6000,0.625242656,0.092813359
109,21.8000,0.630133871,0.093539429
110,22.0000,0.635000209,0.094261806
111,22.2000,0.639841479,0.094980462
112,22.4000,0.644657489,0.095695369
113,22.6000,0.649448048,0.096406498
114,22.8000,0.654212969,0.097113820
115,23.0000,0.658952062,0.097817309
116,23.2000,0.663665141,0.098516936
117,23.4000,0.668352020,0.099212674
118,23.6000,0.673012514,0.099904495
119,23.8000,0.677646437,0.100592372
120,24.0000,0.682253609,0.101276278
121,24.2000,0.686833847,0.101956185
122,24.4000,0.691386969,0.102632068
123,24.6000,0.695912797,0.103303899
124,24.8000,0.700411151,0.103971651
125,25.0000,0.704881854,0.104635299
126,25.2000,0.709324730,0.105294816
127,25.4000,0.713739602,0.105950176
128,25.6000,0.718126298,0.106601354
129,25.8000,0.722484643,0.107248323
130,26.0000,0.726814465,0.107891058
131,26.2000,0.731115595,0.108529534
132,26.4000,0.735387861,0.109163725
133,26.6000,0.739631095,0.109793606
134,26.8000,0.743845130,0.110419153
135,27.0000,0.748029799,0.111040341
136,27.2000,0.752184937,0.111657146
137,27.4000,0.756310380,0.112269542
138,27.6000,0.760405966,0.112877506
139,27.8000,0.764471531,0.113481014
140,28.0000,0.768506917,0.114080041
141,28.2000,0.772511964,0.114674565
142,28.4000,0.776486513,0.115264562
143,28.6000,0.780430407,0.115850009
144,28.8000,0.784343492,0.116430882
145,29.0000,0.788225612,0.117007158
146,29.2000,0.792076614,0.117578815
147,29.4000,0.795896347,0.118145831
148,29.6000,0.799684658,0.118708182
149,29.8000,0.803441400,0.119265847
150,30.0000,0.807166423,0.119818803
151,30.2000,0.810859581,0.120367029
152,30.4000,0.814520727,0.120910503
153,30.6000,0.818149717,0.121449204
154,30.8000,0.821746409,0.121983111
155,31.0000,0.825310659,0.122512201
156,31.2000,0.828842327,0.123036455
157,31.4000,0.832341274,0.123555852
158,31.6000,0.835807361,0.124070371
159,31.8000,0.839240453,0.124579992
160,32.0000,0.842640412,0.125084695
161,32.2000,0.846007106,0.125584459
162,32.4000,0.849340400,0.126079266
163,32.6000,0.852640164,0.126569095
164,32.8000,0.855906268,0.127053928
165,33.0000,0.859138581,0.127533745
166,33.2000,0.862336978,0.128008527
167,33.4000,0.865501330,0.128478255
168,33.6000,0.868631514,0.128942911
169,33.8000,0.871727407,0.129402477
170,34.0000,0.874788884,0.129856934
171,34.2000,0.877815827,0.130306265
172,34.4000,0.880808115,0.130750451
173,34.6000,0.883765630,0.131189476
174,34.8000,0.886688256,0.131623321
175,35.0000,0.889575876,0.132051971
176,35.2000,0.892428378,0.132475407
177,35.4000,0.895245648,0.132893613
178,35.6000,0.898027576,0.133306572
179,35.8000,0.900774051,0.133714269
180,36.0000,0.903484964,0.134116688
181,36.2000,0.906160210,0.134513811
182,36.4000,0.908799682,0.134905624
183,36.6000,0.911403277,0.135292111
184,36.8000,0.913970890,0.135673258
185,37.0000,0.916502422,0.136049048
186,37.2000,0.918997772,0.136419467
187,37.4000,0.921456841,0.136784500
188,37.6000,0.923879533,0.137144134
189,37.8000,0.926265751,0.137498353
190,38.0000,0.928615402,0.137847144
191,38.2000,0.930928393,0.138190493
192,38.4000,0.933204633,0.138528386
193,38.6000,0.935444031,0.138860811
194,38.8000,0.937646499,0.139187754
195,39.0000,0.939811951,0.139509201
196,39.2000,0.941940301,0.139825142
197,39.4000,0.944031464,0.140135562
198,39.6000,0.946085359,0.140440450
199,39.8000,0.948101904,0.140739793
200,40.0000,0.950081019,0.141033580
201,40.2000,0.952022627,0.141321800
202,40.4000,0.953926651,0.141604440
203,40.6000,0.955793015,0.141881490
204,40.8000,0.957621646,0.142152939
205,41.0000,0.959412472,0.142418776
206,41.2000,0.961165422,0.142678990
207,41.4000,0.962880427,0.142933572
208,41.6000,0.964557418,0.143182511
209,41.8000,0.966196331,0.143425797
210,42.0000,0.967797100,0.143663422
211,42.2000,0.969359662,0.143895374
212,42.4000,0.970883956,0.144121646
213,42.6000,0.972369920,0.144342228
214,42.8000,0.973817497,0.144557112
215,43.0000,0.975226630,0.144766289
216,43.2000,0.976597262,0.144969751
217,43.4000,0.977929340,0.145167489
218,43.6000,0.979222811,0.145359497
219,43.8000,0.980477623,0.145545766
220,44.0000,0.981693729,0.145726289
221,44.2000,0.982871078,0.145901059
222,44.4000,0.984009626,0.146070070
223,44.6000,0.985109326,0.146233313
224,44.8000,0.986170136,0.146390784
225,45.0000,0.987192014,0.146542475
226,45.2000,0.988174919,0.146688381
227,45.4000,0.989118813,0.146828496
228,45.6000,0.990023658,0.146962815
229,45.8000,0.990889418,0.147091332
230,46.0000,0.991716060,0.147214041
231,46.2000,0.992503551,0.147330940
