Malha,Posicao,Jacobi_Fluxo_Grupo1,Jacobi_Fluxo_Grupo2,Gauss_Fluxo_Grupo1,Gauss_Fluxo_Grupo2,Analitico_Fluxo_Grupo1,Analitico_Fluxo_Grupo2
77,-34.6,0.4660621705410782,0.06918135241411158,0.4641257144828909,0.0688952700547504,0.462367751,0.068635598
78,-34.4,0.4716440686631579,0.07000991935127929,0.469696734243022,0.06972223776953501,0.467929814,0.069461252
79,-34.2,0.47720654972554466,0.0708356039957115,0.47524882117283374,0.07054639511280698,0.473473404,0.070284163
80,-34.0,0.48274939256658356,0.07165837367149916,0.4807817554188981,0.07136770947171531,0.478998303,0.0711043
81,-33.8,0.48827237716007615,0.07247819570273323,0.48629531826105205,0.07218614823340896,0.484504291,0.071921629
82,-33.6,0.49377528461528014,0.0732950375396664,0.4917892916087244,0.07300167916279197,0.489991152,0.072736119
83,-33.4,0.499257897050748,0.0741088668848751,0.49726345863052734,0.07381427002476836,0.495458668,0.073547738
84,-33.2,0.5047199975943264,0.07491965144093565,0.5027176031246646,0.07462388883607882,0.500906625,0.074356453
85,-33.0,0.5101613705093184,0.07572735928890989,0.508151509896687,0.07543050336162735,0.506334807,0.075162233
86,-32.8,0.5155818010683217,0.0765319585098596,0.5135649648854103,0.07623408212182807,0.511743,0.075965045
87,-32.6,0.5209810760578756,0.07733341756333201,0.5189577546592418,0.07703459338525835,0.51713099,0.076764859
88,-32.4,0.5263589828953283,0.07813170465655075,0.5243296670457726,0.07783200542049559,0.522498565,0.077561641
89,-32.2,0.5317153103858082,0.07892678862754847,0.5296804906281034,0.07862628712570889,0.527845512,0.078355362
90,-32.0,0.5370498483437381,0.07971863831435785,0.5350100149966821,0.0794174071472307,0.533171621,0.07914599
91,-31.8,0.5423623879713207,0.08050722255501157,0.5403180308752215,0.08020533438323009,0.538476681,0.079933493
92,-31.6,0.5476527212277296,0.08129251056602771,0.5456043297429443,0.08099003798371286,0.543760483,0.08071784
93,-31.4,0.5529206415860798,0.08207447169008619,0.550868704338257,0.08177148709868486,0.549022818,0.081499001
94,-31.2,0.5581659435287815,0.08285307552219054,0.5561109480291575,0.08254965112998852,0.554263479,0.082276944
