NumeroIteracoes,35
Keff,0.758262662909

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
109,21.8000,5.025254227,0.745939214
110,22.0000,5.063747951,0.751653161
111,22.2000,5.102036169,0.757336604
112,22.4000,5.140117428,0.762989326
113,22.6000,5.177990285,0.768611114
114,22.8000,5.215653305,0.774201754
115,23.0000,5.253105066,0.779761036
116,23.2000,5.290344154,0.785288749
117,23.4000,5.327369168,0.790784685
118,23.6000,5.364178714,0.796248638
119,23.8000,5.400771410,0.801680402
120,24.0000,5.437145886,0.807079775
121,24.2000,5.473300779,0.812446553
122,24.4000,5.509234739,0.817780536
123,24.6000,5.544946425,0.823081525
124,24.8000,5.580434507,0.828349324
125,25.0000,5.615697666,0.833583735
126,25.2000,5.650734593,0.838784565
127,25.4000,5.685543990,0.843951622
128,25.6000,5.720124568,0.849084712
129,25.8000,5.754475051,0.854183649
130,26.0000,5.788594172,0.859248242
131,26.2000,5.822480674,0.864278306
132,26.4000,5.856133313,0.869273656
133,26.6000,5.889550853,0.874234108
134,26.8000,5.922732071,0.879159482
135,27.0000,5.955675753,0.884049596
136,27.2000,5.988380697,0.888904272
137,27.4000,6.020845710,0.893723334
138,27.6000,6.053069611,0.898506605
139,27.8000,6.085051230,0.903253913
140,28.0000,6.116789406,0.907965085
141,28.2000,6.148282992,0.912639950
142,28.4000,6.179530848,0.917278340
143,28.6000,6.210531847,0.921880086
144,28.8000,6.241284872,0.926445025
145,29.0000,6.271788817,0.930972990
146,29.2000,6.302042588,0.935463820
147,29.4000,6.332045099,0.939917353
148,29.6000,6.361795278,0.944333431
149,29.8000,6.391292060,0.948711895
150,30.0000,6.420534395,0.953052590
151,30.2000,6.449521241,0.957355360
152,30.4000,6.478251568,0.961620053
153,30.6000,6.506724356,0.965846518
154,30.8000,6.534938596,0.970034604
155,31.0000,6.562893290,0.974184164
156,31.2000,6.590587451,0.978295050
157,31.4000,6.618020103,0.982367119
158,31.6000,6.645190280,0.986400227
159,31.8000,6.672097027,0.990394231
160,32.0000,6.698739400,0.994348993
161,32.2000,6.725116466,0.998264373
162,32.4000,6.751227302,1.002140234
163,32.6000,6.777070997,1.005976441
164,32.8000,6.802646650,1.009772860
165,33.0000,6.827953370,1.013529360
166,33.2000,6.852990278,1.017245809
167,33.4000,6.877756506,1.020922079
168,33.6000,6.902251194,1.024558042
169,33.8000,6.926473497,1.028153572
170,34.0000,6.950422577,1.031708546
171,34.2000,6.974097609,1.035222841
172,34.4000,6.997497777,1.038696335
173,34.6000,7.020622277,1.042128910
174,34.8000,7.043470316,1.045520447
175,35.0000,7.066041109,1.048870830
176,35.2000,7.088333885,1.052179945
177,35.4000,7.110347882,1.055447678
178,35.6000,7.132082349,1.058673918
179,35.8000,7.153536544,1.061858556
180,36.0000,7.174709739,1.065001482
181,36.2000,7.195601213,1.068102589
182,36.4000,7.216210258,1.071161774
183,36.6000,7.236536175,1.074178931
184,36.8000,7.256578278,1.077153959
185,37.0000,7.276335888,1.080086758
186,37.2000,7.295808339,1.082977228
187,37.4000,7.314994975,1.085825272
188,37.6000,7.333895151,1.088630795
189,37.8000,7.352508230,1.091393701
190,38.0000,7.370833590,1.094113898
191,38.2000,7.388870614,1.096791295
192,38.4000,7.406618700,1.099425803
193,38.6000,7.424077254,1.102017333
194,38.8000,7.441245694,1.104565799
195,39.0000,7.458123446,1.107071115
196,39.2000,7.474709948,1.109533199
197,39.4000,7.491004650,1.111951968
198,39.6000,7.507007008,1.114327343
199,39.8000,7.522716493,1.116659243
200,40.0000,7.538132583,1.118947592
201,40.2000,7.553254768,1.121192314
202,40.4000,7.568082548,1.123393336
203,40.6000,7.582615432,1.125550583
204,40.8000,7.596852942,1.127663985
205,41.0000,7.610794607,1.129733472
206,41.2000,7.624439968,1.131758977
207,41.4000,7.637788578,1.133740431
208,41.6000,7.650839996,1.135677772
209,41.8000,7.663593795,1.137570933
210,42.0000,7.676049555,1.139419855
211,42.2000,7.688206869,1.141224475
212,42.4000,7.700065339,1.142984735
213,42.6000,7.711624577,1.144700578
214,42.8000,7.722884205,1.146371946
215,43.0000,7.733843855,1.147998787
216,43.2000,7.744503170,1.149581045
217,43.4000,7.754861802,1.151118671
218,43.6000,7.764919414,1.152611614
219,43.8000,7.774675679,1.154059825
220,44.0000,7.784130278,1.155463257
221,44.2000,7.793282906,1.156821865
222,44.4000,7.802133264,1.158135604
223,44.6000,7.810681066,1.159404432
224,44.8000,7.818926035,1.160628308
225,45.0000,7.826867902,1.161807191
226,45.2000,7.834506411,1.162941045
227,45.4000,7.841841315,1.164029831
228,45.6000,7.848872376,1.165073516
229,45.8000,7.855599367,1.166072064
230,46.0000,7.862022071,1.167025445
231,46.2000,7.868140280,1.167933626
232,46.4000,7.873953797,1.168796580
233,46.6000,7.879462434,1.169614277
234,46.8000,7.884666013,1.170386692
235,47.0000,7.889564367,1.171113799
236,47.2000,7.894157338,1.171795576
237,47.4000,7.898444778,1.172431999
238,47.6000,7.902426548,1.173023050
239,47.8000,7.906102522,1.173568708
240,48.0000,7.909472579,1.174068957
