NumeroIteracoes,38
Keff,0.758448810439

Malha,Posicao,Fluxo_Grupo1,Fluxo_Grupo2
367,73.4000,5.921483504,0.878990866
368,73.6000,5.888125556,0.874039176
369,73.8000,5.854533147,0.869052684
370,74.0000,5.820707557,0.864031577
371,74.2000,5.786650077,0.858976049
372,74.4000,5.752362005,0.853886291
373,74.6000,5.717844652,0.848762499
374,74.8000,5.683099337,0.843604868
375,75.0000,5.648127388,0.838413595
376,75.2000,5.612930144,0.833188879
377,75.4000,5.577508955,0.827930921
378,75.6000,5.541865178,0.822639921
379,75.8000,5.506000180,0.817316084
380,76.0000,5.469915340,0.811959612
381,76.2000,5.433612045,0.806570713
382,76.4000,5.397091690,0.801149594
383,76.6000,5.360355682,0.795696463
384,76.8000,5.323405435,0.790211530
385,77.0000,5.286242376,0.784695007
386,77.2000,5.248867937,0.779147106
387,77.4000,5.211283562,0.773568043
388,77.6000,5.173490704,0.767958032
389,77.8000,5.135490824,0.762317290
390,78.0000,5.097285393,0.756646037
391,78.2000,5.058875892,0.750944491
392,78.4000,5.020263809,0.745212874
393,78.6000,4.981450642,0.739451407
394,78.8000,4.942437898,0.733660316
395,79.0000,4.903227094,0.727839824
396,79.2000,4.863819754,0.721990158
397,79.4000,4.824217412,0.716111546
398,79.6000,4.784421609,0.710204216
399,79.8000,4.744433898,0.704268399
400,80.0000,4.704255837,0.698304327
401,80.2000,4.663888994,0.692312232
402,80.4000,4.623334948,0.686292348
403,80.6000,4.582595282,0.680244911
404,80.8000,4.541671590,0.674170157
405,81.0000,4.500565475,0.668068323
406,81.2000,4.459278547,0.661939650
407,81.4000,4.417812423,0.655784377
408,81.6000,4.376168732,0.649602745
409,81.8000,4.334349108,0.643394998
410,82.0000,4.292355193,0.637161379
411,82.2000,4.250188639,0.630902133
412,82.4000,4.207851104,0.624617507
413,82.6000,4.165344255,0.618307748
414,82.8000,4.122669767,0.611973104
415,83.0000,4.079829322,0.605613825
416,83.2000,4.036824610,0.599230163
417,83.4000,3.993657327,0.592822368
418,83.6000,3.950329180,0.586390695
419,83.8000,3.906841881,0.579935397
420,84.0000,3.863197150,0.573456730
421,84.2000,3.819396714,0.566954949
422,84.4000,3.775442307,0.560430314
423,84.6000,3.731335672,0.553883081
424,84.8000,3.687078558,0.547313511
425,85.0000,3.642672719,0.540721864
426,85.2000,3.598119919,0.534108403
427,85.4000,3.553421929,0.527473389
